,drainage_class,gus,tgus,detlimit,offset,detected
0,1,3.82,-0.4,0.2,1.0,-1.0
1,1,3.82,-0.4,0.2,1.0,-1.0
2,1,3.82,-0.5,0.5,1.0,-1.0
3,1,3.82,-0.5,0.5,1.0,-1.0
4,1,3.82,-0.4,0.2,1.0,-1.0
5,1,3.82,-0.4,0.2,1.0,-1.0
6,1,3.82,-0.5,0.5,1.0,-1.0
7,1,3.82,-0.5,0.5,1.0,-1.0
8,1,3.82,-0.5,0.2,1.0,-1.0
9,1,3.82,-0.5,0.2,1.0,-1.0
10,1,3.82,-0.5,0.5,1.0,-1.0
11,1,3.82,-0.5,0.5,1.0,-1.0
12,1,3.82,-0.5,0.2,1.0,-1.0
13,1,3.82,-0.5,0.2,1.0,-1.0
14,1,3.82,-0.5,0.5,1.0,-1.0
15,1,3.82,-0.5,0.5,1.0,-1.0
16,5,3.82,-0.6,0.2,1.0,-1.0
17,5,3.82,-0.6,0.5,1.0,-1.0
18,5,3.82,-0.5,0.2,1.0,-1.0
19,5,3.82,-0.5,0.2,1.0,-1.0
20,5,3.82,-0.6,0.5,1.0,-1.0
21,5,3.82,-0.6,0.5,1.0,-1.0
22,5,3.82,-0.6,0.2,1.0,-1.0
23,5,3.82,-0.6,0.2,1.0,-1.0
24,5,3.82,-0.6,0.5,1.0,-1.0
25,5,3.82,-0.6,0.5,1.0,-1.0
26,2,0.94,-0.6,0.01,1.0,-1.0
27,2,0.94,-0.7,0.1,1.0,-1.0
28,2,0.94,-0.6,0.01,1.0,-1.0
29,2,0.94,-0.6,0.01,1.0,-1.0
30,2,0.94,-0.6,0.01,1.0,-1.0
31,2,0.94,-0.7,0.1,1.0,-1.0
32,2,0.94,-0.6,0.01,1.0,-1.0
33,2,0.94,-0.6,0.01,1.0,-1.0
34,2,0.94,-0.6,0.01,1.0,-1.0
35,2,0.94,-0.7,0.1,1.0,-1.0
36,2,0.94,-0.6,0.01,1.0,-1.0
37,2,0.94,-0.6,0.01,1.0,-1.0
38,1,2.57,6.6,0.01,1.0,1.0
39,1,2.57,6.6,0.01,1.0,1.0
40,1,2.57,6.6,0.01,1.0,1.0
41,1,2.57,6.6,0.01,1.0,1.0
42,1,2.57,6.4,0.01,1.0,-1.0
43,1,2.57,6.4,0.01,1.0,-1.0
44,1,2.57,6.4,0.01,1.0,-1.0
45,1,2.57,6.4,0.01,1.0,-1.0
46,2,2.57,5.2,0.01,1.0,-1.0
47,2,2.57,5.2,0.01,1.0,-1.0
48,2,2.57,5.2,0.01,1.0,-1.0
49,2,2.57,6.4,0.01,1.0,-1.0
50,2,2.57,6.4,0.01,1.0,-1.0
51,2,2.57,6.4,0.01,1.0,-1.0
52,2,2.57,6.4,0.01,1.0,-1.0
53,1,2.02,0.5,0.05,1.0,-1.0
54,1,2.02,0.5,0.05,1.0,-1.0
55,1,2.02,0.5,0.05,1.0,-1.0
56,1,2.02,0.5,0.05,1.0,-1.0
57,1,2.02,0.5,0.05,1.0,-1.0
58,1,2.02,0.5,0.05,1.0,-1.0
59,1,2.02,0.5,0.05,1.0,1.0
60,1,2.02,0.5,0.05,1.0,-1.0
61,2,2.02,0.3,0.05,1.0,-1.0
62,2,2.02,0.3,0.05,1.0,-1.0
63,2,2.02,0.3,0.05,1.0,-1.0
64,2,2.02,0.5,0.05,1.0,-1.0
65,2,2.02,0.5,0.05,1.0,-1.0
66,2,2.02,0.5,0.05,1.0,-1.0
67,2,2.02,0.5,0.05,1.0,-1.0
68,5,2.02,0.3,0.05,1.0,1.0
69,3,2.02,0.4,0.05,1.0,1.0
70,1,2.02,0.5,0.05,1.0,1.0
71,1,3.51,11.4,0.5,1.0,-1.0
72,1,3.51,11.4,0.5,1.0,-1.0
73,1,3.51,11.4,0.5,1.0,-1.0
74,1,3.51,11.4,0.5,1.0,-1.0
75,1,3.51,11.4,0.5,1.0,-1.0
76,1,3.51,11.4,0.5,1.0,-1.0
77,1,3.51,11.4,0.5,1.0,-1.0
78,1,3.51,11.4,0.5,1.0,-1.0
79,1,0.58,11.6,0.025,1.0,-1.0
80,1,0.58,11.6,0.025,1.0,-1.0
