,tgus,Sand %,Silt %,Clay %,offset,detected
0,-0.4,67.7,22.3,10.0,1.0,-1.0
1,-0.4,67.7,22.3,10.0,1.0,-1.0
2,-0.5,67.7,22.3,10.0,1.0,-1.0
3,-0.5,67.7,22.3,10.0,1.0,-1.0
4,-0.4,67.7,22.3,10.0,1.0,-1.0
5,-0.4,67.7,22.3,10.0,1.0,-1.0
6,-0.5,67.7,22.3,10.0,1.0,-1.0
7,-0.5,67.7,22.3,10.0,1.0,-1.0
8,-0.5,32.1,55.9,12.0,1.0,-1.0
9,-0.5,32.1,55.9,12.0,1.0,-1.0
10,-0.5,32.1,55.9,12.0,1.0,-1.0
11,-0.5,32.1,55.9,12.0,1.0,-1.0
12,-0.5,20.7,67.3,12.0,1.0,-1.0
13,-0.5,20.7,67.3,12.0,1.0,-1.0
14,-0.5,20.7,67.3,12.0,1.0,-1.0
15,-0.5,20.7,67.3,12.0,1.0,-1.0
16,-0.6,68.5,21.5,10.0,1.0,-1.0
17,-0.7,68.5,21.5,10.0,1.0,-1.0
18,-0.6,68.5,21.5,10.0,1.0,-1.0
19,-0.6,68.5,21.5,10.0,1.0,-1.0
20,-0.6,68.5,21.5,10.0,1.0,-1.0
21,-0.7,68.5,21.5,10.0,1.0,-1.0
22,-0.6,68.5,21.5,10.0,1.0,-1.0
23,-0.6,68.5,21.5,10.0,1.0,-1.0
24,-0.6,68.5,21.5,10.0,1.0,-1.0
25,-0.7,68.5,21.5,10.0,1.0,-1.0
26,-0.6,68.5,21.5,10.0,1.0,-1.0
27,-0.6,68.5,21.5,10.0,1.0,-1.0
28,6.6,37.9,35.0,27.1,1.0,1.0
29,6.6,37.9,35.0,27.1,1.0,1.0
30,6.6,37.9,35.0,27.1,1.0,1.0
31,6.6,37.9,35.0,27.1,1.0,1.0
32,6.4,40.0,41.8,18.2,1.0,-1.0
33,6.4,40.0,41.8,18.2,1.0,-1.0
34,6.4,40.0,41.8,18.2,1.0,-1.0
35,6.4,40.0,41.8,18.2,1.0,-1.0
36,5.2,71.4,20.4,8.2,1.0,-1.0
37,5.2,71.4,20.4,8.2,1.0,-1.0
38,5.2,71.4,20.4,8.2,1.0,-1.0
39,6.4,41.0,42.0,17.0,1.0,-1.0
40,6.4,41.0,42.0,17.0,1.0,-1.0
41,6.4,41.0,42.0,17.0,1.0,-1.0
42,6.4,41.0,42.0,17.0,1.0,-1.0
43,0.5,37.9,35.0,27.1,1.0,-1.0
44,0.5,37.9,35.0,27.1,1.0,-1.0
45,0.5,37.9,35.0,27.1,1.0,-1.0
46,0.5,37.9,35.0,27.1,1.0,-1.0
47,0.5,40.0,41.8,18.2,1.0,-1.0
48,0.5,40.0,41.8,18.2,1.0,-1.0
49,0.5,40.0,41.8,18.2,1.0,1.0
50,0.5,40.0,41.8,18.2,1.0,-1.0
51,0.3,71.4,20.4,8.2,1.0,-1.0
52,0.3,71.4,20.4,8.2,1.0,-1.0
53,0.3,71.4,20.4,8.2,1.0,-1.0
54,0.5,41.0,42.0,17.0,1.0,-1.0
55,0.5,41.0,42.0,17.0,1.0,-1.0
56,0.5,41.0,42.0,17.0,1.0,-1.0
57,0.5,41.0,42.0,17.0,1.0,-1.0
58,0.4,24.0,54.0,22.0,1.0,1.0
59,0.5,38.8,49.2,12.0,1.0,1.0
60,11.4,67.7,22.3,10.0,1.0,-1.0
61,11.4,67.7,22.3,10.0,1.0,-1.0
62,11.4,67.7,22.3,10.0,1.0,-1.0
63,11.4,67.7,22.3,10.0,1.0,-1.0
64,11.4,67.7,22.3,10.0,1.0,-1.0
65,11.4,67.7,22.3,10.0,1.0,-1.0
66,11.4,67.7,22.3,10.0,1.0,-1.0
67,11.4,67.7,22.3,10.0,1.0,-1.0
