,gus,True Sand,offset,detected
0,3.82,66.32,1.0,-1.0
1,3.82,66.32,1.0,-1.0
2,3.82,66.32,1.0,-1.0
3,3.82,66.32,1.0,-1.0
4,3.82,66.32,1.0,-1.0
5,3.82,66.32,1.0,-1.0
6,3.82,66.32,1.0,-1.0
7,3.82,66.32,1.0,-1.0
8,3.82,31.17,1.0,-1.0
9,3.82,31.17,1.0,-1.0
10,3.82,31.17,1.0,-1.0
11,3.82,31.17,1.0,-1.0
12,3.82,20.04,1.0,-1.0
13,3.82,20.04,1.0,-1.0
14,3.82,20.04,1.0,-1.0
15,3.82,20.04,1.0,-1.0
16,0.94,66.41,1.0,-1.0
17,0.94,66.41,1.0,-1.0
18,0.94,66.41,1.0,-1.0
19,0.94,66.41,1.0,-1.0
20,0.94,66.41,1.0,-1.0
21,0.94,66.41,1.0,-1.0
22,0.94,66.41,1.0,-1.0
23,0.94,66.41,1.0,-1.0
24,0.94,66.41,1.0,-1.0
25,0.94,66.41,1.0,-1.0
26,0.94,66.41,1.0,-1.0
27,0.94,66.41,1.0,-1.0
28,2.57,37.16,1.0,1.0
29,2.57,37.16,1.0,1.0
30,2.57,37.16,1.0,1.0
31,2.57,37.16,1.0,1.0
32,2.57,38.97,1.0,-1.0
33,2.57,38.97,1.0,-1.0
34,2.57,38.97,1.0,-1.0
35,2.57,38.97,1.0,-1.0
36,2.57,64.04,1.0,-1.0
37,2.57,64.04,1.0,-1.0
38,2.57,64.04,1.0,-1.0
39,2.57,40.01,1.0,-1.0
40,2.57,40.01,1.0,-1.0
41,2.57,40.01,1.0,-1.0
42,2.57,40.01,1.0,-1.0
43,2.02,37.16,1.0,-1.0
44,2.02,37.16,1.0,-1.0
45,2.02,37.16,1.0,-1.0
46,2.02,37.16,1.0,-1.0
47,2.02,38.97,1.0,-1.0
48,2.02,38.97,1.0,-1.0
49,2.02,38.97,1.0,1.0
50,2.02,38.97,1.0,-1.0
51,2.02,64.04,1.0,-1.0
52,2.02,64.04,1.0,-1.0
53,2.02,64.04,1.0,-1.0
54,2.02,40.01,1.0,-1.0
55,2.02,40.01,1.0,-1.0
56,2.02,40.01,1.0,-1.0
57,2.02,40.01,1.0,-1.0
58,2.02,22.97,1.0,1.0
59,2.02,37.78,1.0,1.0
60,3.51,66.32,1.0,-1.0
61,3.51,66.32,1.0,-1.0
62,3.51,66.32,1.0,-1.0
63,3.51,66.32,1.0,-1.0
64,3.51,66.32,1.0,-1.0
65,3.51,66.32,1.0,-1.0
66,3.51,66.32,1.0,-1.0
67,3.51,66.32,1.0,-1.0
68,0.58,37.16,1.0,-1.0
69,0.58,37.16,1.0,-1.0
70,0.58,37.16,1.0,-1.0
71,0.58,37.16,1.0,-1.0
72,0.58,38.97,1.0,-1.0
73,0.58,38.97,1.0,-1.0
74,0.58,38.97,1.0,-1.0
