,tgus,offset,detected
0,-0.4,1.0,-1.0
1,-0.4,1.0,-1.0
2,-0.5,1.0,-1.0
3,-0.5,1.0,-1.0
4,-0.4,1.0,-1.0
5,-0.4,1.0,-1.0
6,-0.5,1.0,-1.0
7,-0.5,1.0,-1.0
8,-0.5,1.0,-1.0
9,-0.5,1.0,-1.0
10,-0.5,1.0,-1.0
11,-0.5,1.0,-1.0
12,-0.5,1.0,-1.0
13,-0.5,1.0,-1.0
14,-0.5,1.0,-1.0
15,-0.5,1.0,-1.0
16,-0.6,1.0,-1.0
17,-0.6,1.0,-1.0
18,-0.5,1.0,-1.0
19,-0.5,1.0,-1.0
20,-0.6,1.0,-1.0
21,-0.6,1.0,-1.0
22,-0.6,1.0,-1.0
23,-0.6,1.0,-1.0
24,-0.6,1.0,-1.0
25,-0.6,1.0,-1.0
26,-0.6,1.0,-1.0
27,-0.7,1.0,-1.0
28,-0.6,1.0,-1.0
29,-0.6,1.0,-1.0
30,-0.6,1.0,-1.0
31,-0.7,1.0,-1.0
32,-0.6,1.0,-1.0
33,-0.6,1.0,-1.0
34,-0.6,1.0,-1.0
35,-0.7,1.0,-1.0
36,-0.6,1.0,-1.0
37,-0.6,1.0,-1.0
38,6.6,1.0,1.0
39,6.6,1.0,1.0
40,6.6,1.0,1.0
41,6.6,1.0,1.0
42,6.4,1.0,-1.0
43,6.4,1.0,-1.0
44,6.4,1.0,-1.0
45,6.4,1.0,-1.0
46,5.2,1.0,-1.0
47,5.2,1.0,-1.0
48,5.2,1.0,-1.0
49,6.4,1.0,-1.0
50,6.4,1.0,-1.0
51,6.4,1.0,-1.0
52,6.4,1.0,-1.0
53,0.5,1.0,-1.0
54,0.5,1.0,-1.0
55,0.5,1.0,-1.0
56,0.5,1.0,-1.0
57,0.5,1.0,-1.0
58,0.5,1.0,-1.0
59,0.5,1.0,1.0
60,0.5,1.0,-1.0
61,0.3,1.0,-1.0
62,0.3,1.0,-1.0
63,0.3,1.0,-1.0
64,0.5,1.0,-1.0
65,0.5,1.0,-1.0
66,0.5,1.0,-1.0
67,0.5,1.0,-1.0
68,0.3,1.0,1.0
69,0.4,1.0,1.0
70,0.5,1.0,1.0
71,11.4,1.0,-1.0
72,11.4,1.0,-1.0
73,11.4,1.0,-1.0
74,11.4,1.0,-1.0
75,11.4,1.0,-1.0
76,11.4,1.0,-1.0
77,11.4,1.0,-1.0
78,11.4,1.0,-1.0
79,11.6,1.0,-1.0
80,11.6,1.0,-1.0
81,11.6,1.0,-1.0
82,11.6,1.0,-1.0
83,10.7,1.0,-1.0
84,10.7,1.0,-1.0
85,10.7,1.0,-1.0
86,10.7,1.0,-1.0
87,4.6,1.0,-1.0
88,4.6,1.0,-1.0
89,4.6,1.0,-1.0
90,10.9,1.0,-1.0
91,10.9,1.0,-1.0
92,10.9,1.0,-1.0
93,10.9,1.0,-1.0
94,1.6,1.0,-1.0
95,1.6,1.0,-1.0
96,1.3,1.0,-1.0
97,1.3,1.0,-1.0
98,1.6,1.0,-1.0
99,1.6,1.0,-1.0
100,1.3,1.0,-1.0
101,1.3,1.0,-1.0
102,0.9,1.0,-1.0
103,0.9,1.0,-1.0
104,1.7,1.0,-1.0
105,1.7,1.0,1.0
106,0.8,1.0,-1.0
107,0.8,1.0,-1.0
108,1.6,1.0,-1.0
109,1.6,1.0,-1.0
110,0.1,1.0,-1.0
111,0.1,1.0,-1.0
112,0.9,1.0,-1.0
113,0.8,1.0,-1.0
114,0.8,1.0,-1.0
115,1.6,1.0,-1.0
116,1.6,1.0,-1.0
117,1.4,1.0,-1.0
118,1.4,1.0,-1.0
119,1.4,1.0,-1.0
120,1.4,1.0,-1.0
121,1.4,1.0,-1.0
122,1.4,1.0,-1.0
123,1.4,1.0,-1.0
124,1.4,1.0,-1.0
125,9.7,1.0,-1.0
126,9.7,1.0,-1.0
127,9.7,1.0,-1.0
128,9.7,1.0,-1.0
129,9.7,1.0,-1.0
130,9.7,1.0,-1.0
131,9.7,1.0,-1.0
132,9.7,1.0,-1.0
133,8.7,1.0,1.0
134,-0.6,1.0,-1.0
135,-0.6,1.0,-1.0
136,-0.6,1.0,-1.0
137,-0.6,1.0,-1.0
138,-0.6,1.0,-1.0
139,-0.6,1.0,-1.0
140,-0.6,1.0,-1.0
141,-0.6,1.0,-1.0
142,-0.1,1.0,-1.0
143,-0.1,1.0,-1.0
144,-0.5,1.0,-1.0
145,-0.5,1.0,-1.0
146,-0.2,1.0,-1.0
147,-0.2,1.0,-1.0
148,-0.5,1.0,-1.0
149,-0.5,1.0,-1.0
150,-0.5,1.0,-1.0
151,-0.5,1.0,-1.0
152,-0.9,1.0,-1.0
153,-0.2,1.0,-1.0
154,-0.2,1.0,-1.0
155,-0.5,1.0,-1.0
156,-0.5,1.0,-1.0
157,-0.2,1.0,-1.0
158,-0.2,1.0,-1.0
159,-0.6,1.0,-1.0
160,-0.6,1.0,-1.0
161,-0.2,1.0,-1.0
162,-0.2,1.0,-1.0
163,-0.6,1.0,-1.0
164,-0.6,1.0,-1.0
165,-0.4,1.0,-1.0
166,-0.4,1.0,-1.0
167,-0.8,1.0,-1.0
168,-0.8,1.0,-1.0
169,-0.4,1.0,-1.0
170,-0.4,1.0,-1.0
171,-0.8,1.0,-1.0
172,-0.8,1.0,-1.0
173,-0.1,1.0,-1.0
174,-0.1,1.0,-1.0
175,-0.5,1.0,-1.0
176,-0.5,1.0,-1.0
