,aquifer_vulnerability,drainage_class,soil_halflife,koc [m^3/Mg],Sand %,Silt %,Clay %,offset,detected
0,0,1,4.4,39.3,67.7,22.3,10.0,1.0,-1.0
1,0,1,4.4,39.3,67.7,22.3,10.0,1.0,-1.0
2,0,1,4.4,39.3,67.7,22.3,10.0,1.0,-1.0
3,0,1,4.4,39.3,67.7,22.3,10.0,1.0,-1.0
4,0,1,4.4,39.3,67.7,22.3,10.0,1.0,-1.0
5,0,1,4.4,39.3,67.7,22.3,10.0,1.0,-1.0
6,0,1,4.4,39.3,67.7,22.3,10.0,1.0,-1.0
7,0,1,4.4,39.3,67.7,22.3,10.0,1.0,-1.0
8,0,1,4.4,39.3,32.1,55.9,12.0,1.0,-1.0
9,0,1,4.4,39.3,32.1,55.9,12.0,1.0,-1.0
10,0,1,4.4,39.3,32.1,55.9,12.0,1.0,-1.0
11,0,1,4.4,39.3,32.1,55.9,12.0,1.0,-1.0
12,0,1,4.4,39.3,20.7,67.3,12.0,1.0,-1.0
13,0,1,4.4,39.3,20.7,67.3,12.0,1.0,-1.0
14,0,1,4.4,39.3,20.7,67.3,12.0,1.0,-1.0
15,0,1,4.4,39.3,20.7,67.3,12.0,1.0,-1.0
16,0,2,1.6,200.0,68.5,21.5,10.0,1.0,-1.0
17,0,2,1.6,200.0,68.5,21.5,10.0,1.0,-1.0
18,0,2,1.6,200.0,68.5,21.5,10.0,1.0,-1.0
19,0,2,1.6,200.0,68.5,21.5,10.0,1.0,-1.0
20,0,2,1.6,200.0,68.5,21.5,10.0,1.0,-1.0
21,0,2,1.6,200.0,68.5,21.5,10.0,1.0,-1.0
22,0,2,1.6,200.0,68.5,21.5,10.0,1.0,-1.0
23,0,2,1.6,200.0,68.5,21.5,10.0,1.0,-1.0
24,0,2,1.6,200.0,68.5,21.5,10.0,1.0,-1.0
25,0,2,1.6,200.0,68.5,21.5,10.0,1.0,-1.0
26,0,2,1.6,200.0,68.5,21.5,10.0,1.0,-1.0
27,0,2,1.6,200.0,68.5,21.5,10.0,1.0,-1.0
28,1,1,75.0,100.0,37.9,35.0,27.1,1.0,1.0
29,1,1,75.0,100.0,37.9,35.0,27.1,1.0,1.0
30,1,1,75.0,100.0,37.9,35.0,27.1,1.0,1.0
31,1,1,75.0,100.0,37.9,35.0,27.1,1.0,1.0
32,1,1,75.0,100.0,40.0,41.8,18.2,1.0,-1.0
33,1,1,75.0,100.0,40.0,41.8,18.2,1.0,-1.0
34,1,1,75.0,100.0,40.0,41.8,18.2,1.0,-1.0
35,1,1,75.0,100.0,40.0,41.8,18.2,1.0,-1.0
36,1,2,75.0,100.0,71.4,20.4,8.2,1.0,-1.0
37,1,2,75.0,100.0,71.4,20.4,8.2,1.0,-1.0
38,1,2,75.0,100.0,71.4,20.4,8.2,1.0,-1.0
39,1,2,75.0,100.0,41.0,42.0,17.0,1.0,-1.0
40,1,2,75.0,100.0,41.0,42.0,17.0,1.0,-1.0
41,1,2,75.0,100.0,41.0,42.0,17.0,1.0,-1.0
42,1,2,75.0,100.0,41.0,42.0,17.0,1.0,-1.0
43,1,1,16.0,300.0,37.9,35.0,27.1,1.0,-1.0
44,1,1,16.0,300.0,37.9,35.0,27.1,1.0,-1.0
45,1,1,16.0,300.0,37.9,35.0,27.1,1.0,-1.0
46,1,1,16.0,300.0,37.9,35.0,27.1,1.0,-1.0
47,1,1,16.0,300.0,40.0,41.8,18.2,1.0,-1.0
48,1,1,16.0,300.0,40.0,41.8,18.2,1.0,-1.0
49,1,1,16.0,300.0,40.0,41.8,18.2,1.0,1.0
50,1,1,16.0,300.0,40.0,41.8,18.2,1.0,-1.0
51,1,2,16.0,300.0,71.4,20.4,8.2,1.0,-1.0
52,1,2,16.0,300.0,71.4,20.4,8.2,1.0,-1.0
53,1,2,16.0,300.0,71.4,20.4,8.2,1.0,-1.0
54,1,2,16.0,300.0,41.0,42.0,17.0,1.0,-1.0
55,1,2,16.0,300.0,41.0,42.0,17.0,1.0,-1.0
56,1,2,16.0,300.0,41.0,42.0,17.0,1.0,-1.0
57,1,2,16.0,300.0,41.0,42.0,17.0,1.0,-1.0
58,0,3,16.0,300.0,24.0,54.0,22.0,1.0,1.0
59,1,1,16.0,300.0,38.8,49.2,12.0,1.0,1.0
60,0,1,597.0,362.0,67.7,22.3,10.0,1.0,-1.0
61,0,1,597.0,362.0,67.7,22.3,10.0,1.0,-1.0
62,0,1,597.0,362.0,67.7,22.3,10.0,1.0,-1.0
63,0,1,597.0,362.0,67.7,22.3,10.0,1.0,-1.0
64,0,1,597.0,362.0,67.7,22.3,10.0,1.0,-1.0
65,0,1,597.0,362.0,67.7,22.3,10.0,1.0,-1.0
66,0,1,597.0,362.0,67.7,22.3,10.0,1.0,-1.0
67,0,1,597.0,362.0,67.7,22.3,10.0,1.0,-1.0
68,1,1,386.0,5509.0,37.9,35.0,27.1,1.0,-1.0
69,1,1,386.0,5509.0,37.9,35.0,27.1,1.0,-1.0
70,1,1,386.0,5509.0,37.9,35.0,27.1,1.0,-1.0
71,1,1,386.0,5509.0,37.9,35.0,27.1,1.0,-1.0
72,1,1,386.0,5509.0,40.0,41.8,18.2,1.0,-1.0
73,1,1,386.0,5509.0,40.0,41.8,18.2,1.0,-1.0
74,1,1,386.0,5509.0,40.0,41.8,18.2,1.0,-1.0
75,1,1,386.0,5509.0,40.0,41.8,18.2,1.0,-1.0
76,1,2,386.0,5509.0,71.4,20.4,8.2,1.0,-1.0
77,1,2,386.0,5509.0,71.4,20.4,8.2,1.0,-1.0
78,1,2,386.0,5509.0,71.4,20.4,8.2,1.0,-1.0
79,1,2,386.0,5509.0,41.0,42.0,17.0,1.0,-1.0
80,1,2,386.0,5509.0,41.0,42.0,17.0,1.0,-1.0
81,1,2,386.0,5509.0,41.0,42.0,17.0,1.0,-1.0
82,1,2,386.0,5509.0,41.0,42.0,17.0,1.0,-1.0
83,0,1,34.0,5.0,67.7,22.3,10.0,1.0,-1.0
84,0,1,34.0,5.0,67.7,22.3,10.0,1.0,-1.0
85,0,1,34.0,5.0,67.7,22.3,10.0,1.0,-1.0
86,0,1,34.0,5.0,67.7,22.3,10.0,1.0,-1.0
87,0,1,34.0,5.0,67.7,22.3,10.0,1.0,-1.0
88,0,1,34.0,5.0,67.7,22.3,10.0,1.0,-1.0
89,0,1,34.0,5.0,67.7,22.3,10.0,1.0,-1.0
90,0,1,34.0,5.0,67.7,22.3,10.0,1.0,-1.0
91,1,1,45.0,110.0,37.9,35.0,27.1,1.0,-1.0
92,1,1,45.0,110.0,37.9,35.0,27.1,1.0,-1.0
93,1,1,45.0,110.0,37.9,35.0,27.1,1.0,-1.0
94,1,1,45.0,110.0,37.9,35.0,27.1,1.0,1.0
95,1,1,45.0,110.0,40.0,41.8,18.2,1.0,-1.0
96,1,1,45.0,110.0,40.0,41.8,18.2,1.0,-1.0
97,1,1,45.0,110.0,40.0,41.8,18.2,1.0,-1.0
98,1,1,45.0,110.0,40.0,41.8,18.2,1.0,-1.0
99,1,2,45.0,110.0,71.4,20.4,8.2,1.0,-1.0
100,1,2,45.0,110.0,71.4,20.4,8.2,1.0,-1.0
101,1,2,45.0,110.0,71.4,20.4,8.2,1.0,-1.0
102,1,2,45.0,110.0,41.0,42.0,17.0,1.0,-1.0
103,1,2,45.0,110.0,41.0,42.0,17.0,1.0,-1.0
104,1,2,45.0,110.0,41.0,42.0,17.0,1.0,-1.0
105,1,2,45.0,110.0,41.0,42.0,17.0,1.0,-1.0
106,0,1,39.0,801.0,67.7,22.3,10.0,1.0,-1.0
107,0,1,39.0,801.0,67.7,22.3,10.0,1.0,-1.0
108,0,1,39.0,801.0,67.7,22.3,10.0,1.0,-1.0
109,0,1,39.0,801.0,67.7,22.3,10.0,1.0,-1.0
110,0,1,39.0,801.0,67.7,22.3,10.0,1.0,-1.0
111,0,1,39.0,801.0,67.7,22.3,10.0,1.0,-1.0
112,0,1,39.0,801.0,67.7,22.3,10.0,1.0,-1.0
113,0,1,39.0,801.0,67.7,22.3,10.0,1.0,-1.0
114,0,1,146.6,680.0,45.3,42.7,12.0,1.0,-1.0
115,0,1,146.6,680.0,45.3,42.7,12.0,1.0,-1.0
116,0,1,146.6,680.0,45.3,42.7,12.0,1.0,-1.0
117,0,1,146.6,680.0,45.3,42.7,12.0,1.0,-1.0
118,0,3,146.6,680.0,24.0,54.0,22.0,1.0,-1.0
119,0,3,146.6,680.0,24.0,54.0,22.0,1.0,-1.0
120,0,3,146.6,680.0,24.0,54.0,22.0,1.0,-1.0
121,0,3,146.6,680.0,24.0,54.0,22.0,1.0,-1.0
122,0,4,146.6,680.0,11.2,66.8,22.0,1.0,1.0
123,0,1,124.0,16430.0,67.7,22.3,10.0,1.0,-1.0
124,0,1,124.0,16430.0,67.7,22.3,10.0,1.0,-1.0
125,0,1,124.0,16430.0,67.7,22.3,10.0,1.0,-1.0
126,0,1,124.0,16430.0,67.7,22.3,10.0,1.0,-1.0
127,0,1,124.0,16430.0,67.7,22.3,10.0,1.0,-1.0
128,0,1,124.0,16430.0,67.7,22.3,10.0,1.0,-1.0
129,0,1,124.0,16430.0,67.7,22.3,10.0,1.0,-1.0
130,0,1,124.0,16430.0,67.7,22.3,10.0,1.0,-1.0
131,1,1,21.9,889.0,37.9,35.0,27.1,1.0,-1.0
132,1,1,21.9,889.0,37.9,35.0,27.1,1.0,-1.0
133,1,1,21.9,889.0,37.9,35.0,27.1,1.0,-1.0
134,1,1,21.9,889.0,37.9,35.0,27.1,1.0,-1.0
135,1,1,21.9,889.0,40.0,41.8,18.2,1.0,-1.0
136,1,1,21.9,889.0,40.0,41.8,18.2,1.0,-1.0
137,1,1,21.9,889.0,40.0,41.8,18.2,1.0,-1.0
138,1,1,21.9,889.0,40.0,41.8,18.2,1.0,-1.0
139,1,2,21.9,889.0,71.4,20.4,8.2,1.0,-1.0
140,1,2,21.9,889.0,71.4,20.4,8.2,1.0,-1.0
141,1,2,21.9,889.0,71.4,20.4,8.2,1.0,-1.0
142,1,2,21.9,889.0,41.0,42.0,17.0,1.0,-1.0
143,1,2,21.9,889.0,41.0,42.0,17.0,1.0,-1.0
144,1,2,21.9,889.0,41.0,42.0,17.0,1.0,-1.0
145,1,2,21.9,889.0,41.0,42.0,17.0,1.0,-1.0
146,0,1,21.9,889.0,45.3,42.7,12.0,1.0,-1.0
147,0,1,21.9,889.0,45.3,42.7,12.0,1.0,-1.0
148,0,1,21.9,889.0,45.3,42.7,12.0,1.0,-1.0
149,0,1,21.9,889.0,45.3,42.7,12.0,1.0,-1.0
150,0,3,21.9,889.0,24.0,54.0,22.0,1.0,-1.0
151,0,3,21.9,889.0,24.0,54.0,22.0,1.0,-1.0
152,0,3,21.9,889.0,24.0,54.0,22.0,1.0,-1.0
153,0,3,21.9,889.0,24.0,54.0,22.0,1.0,-1.0
154,0,4,21.9,889.0,11.2,66.8,22.0,1.0,-1.0
155,0,4,21.9,889.0,11.2,66.8,22.0,1.0,-1.0
156,0,4,21.9,889.0,11.2,66.8,22.0,1.0,-1.0
157,0,4,21.9,889.0,11.2,66.8,22.0,1.0,-1.0
158,0,4,21.9,889.0,11.2,66.8,13.4,1.0,-1.0
159,0,4,21.9,889.0,11.2,66.8,13.4,1.0,-1.0
160,0,4,21.9,889.0,11.2,66.8,13.4,1.0,-1.0
161,0,4,21.9,889.0,11.2,66.8,13.4,1.0,-1.0
162,0,1,21.9,889.0,56.3,30.3,13.4,1.0,-1.0
163,0,1,21.9,889.0,56.3,30.3,13.4,1.0,-1.0
164,0,1,21.9,889.0,56.3,30.3,13.4,1.0,-1.0
165,0,1,21.9,889.0,56.3,30.3,13.4,1.0,-1.0
166,0,1,16.11,1424.0,67.7,22.3,10.0,1.0,-1.0
167,0,1,16.11,1424.0,67.7,22.3,10.0,1.0,-1.0
168,0,1,16.11,1424.0,67.7,22.3,10.0,1.0,-1.0
169,0,1,16.11,1424.0,67.7,22.3,10.0,1.0,-1.0
170,0,2,16.11,1424.0,68.5,21.5,10.0,1.0,-1.0
171,0,2,16.11,1424.0,68.5,21.5,10.0,1.0,-1.0
172,0,2,16.11,1424.0,68.5,21.5,10.0,1.0,-1.0
173,0,1,16.11,1424.0,32.1,55.9,12.0,1.0,-1.0
174,0,1,16.11,1424.0,32.1,55.9,12.0,1.0,-1.0
175,0,1,16.11,1424.0,20.7,67.3,12.0,1.0,-1.0
176,0,1,16.11,1424.0,20.7,67.3,12.0,1.0,-1.0
177,1,1,16.11,1424.0,37.9,35.0,27.1,1.0,-1.0
178,1,1,16.11,1424.0,37.9,35.0,27.1,1.0,-1.0
179,1,1,16.11,1424.0,40.0,41.8,18.2,1.0,-1.0
180,1,1,16.11,1424.0,40.0,41.8,18.2,1.0,-1.0
181,1,2,16.11,1424.0,71.4,20.4,8.2,1.0,-1.0
182,1,2,16.11,1424.0,71.4,20.4,8.2,1.0,-1.0
183,1,2,16.11,1424.0,41.0,42.0,17.0,1.0,-1.0
184,1,2,16.11,1424.0,41.0,42.0,17.0,1.0,-1.0
185,0,1,16.11,1424.0,45.3,42.7,12.0,1.0,-1.0
186,0,1,16.11,1424.0,45.3,42.7,12.0,1.0,-1.0
187,0,3,16.11,1424.0,24.0,54.0,22.0,1.0,-1.0
188,0,3,16.11,1424.0,24.0,54.0,22.0,1.0,-1.0
189,0,4,16.11,1424.0,11.2,66.8,22.0,1.0,-1.0
190,0,4,16.11,1424.0,11.2,66.8,22.0,1.0,-1.0
191,0,4,16.11,1424.0,11.2,66.8,13.4,1.0,-1.0
192,0,4,16.11,1424.0,11.2,66.8,13.4,1.0,-1.0
193,0,1,16.11,1424.0,56.3,30.3,13.4,1.0,-1.0
194,0,1,16.11,1424.0,56.3,30.3,13.4,1.0,-1.0
195,0,1,26.7,109.0,67.7,22.3,10.0,1.0,-1.0
196,0,1,26.7,109.0,67.7,22.3,10.0,1.0,-1.0
197,0,1,26.7,109.0,67.7,22.3,10.0,1.0,-1.0
198,0,1,26.7,109.0,67.7,22.3,10.0,1.0,-1.0
199,0,1,26.7,109.0,67.7,22.3,10.0,1.0,-1.0
200,0,1,26.7,109.0,67.7,22.3,10.0,1.0,-1.0
201,0,1,26.7,109.0,67.7,22.3,10.0,1.0,-1.0
202,0,1,26.7,109.0,67.7,22.3,10.0,1.0,-1.0
203,1,1,150.0,1000.0,37.9,35.0,27.1,1.0,-1.0
204,1,1,150.0,1000.0,37.9,35.0,27.1,1.0,-1.0
205,1,1,150.0,1000.0,37.9,35.0,27.1,1.0,-1.0
206,1,1,150.0,1000.0,37.9,35.0,27.1,1.0,-1.0
207,1,1,150.0,1000.0,40.0,41.8,18.2,1.0,-1.0
208,1,1,150.0,1000.0,40.0,41.8,18.2,1.0,-1.0
209,1,1,150.0,1000.0,40.0,41.8,18.2,1.0,-1.0
210,1,1,150.0,1000.0,40.0,41.8,18.2,1.0,-1.0
211,1,2,150.0,1000.0,71.4,20.4,8.2,1.0,-1.0
212,1,2,150.0,1000.0,71.4,20.4,8.2,1.0,-1.0
213,1,2,150.0,1000.0,71.4,20.4,8.2,1.0,-1.0
214,1,2,150.0,1000.0,41.0,42.0,17.0,1.0,-1.0
215,1,2,150.0,1000.0,41.0,42.0,17.0,1.0,-1.0
216,1,2,150.0,1000.0,41.0,42.0,17.0,1.0,-1.0
217,1,2,150.0,1000.0,41.0,42.0,17.0,1.0,-1.0
218,0,1,36.2,700.0,67.7,22.3,10.0,1.0,-1.0
219,0,1,36.2,700.0,67.7,22.3,10.0,1.0,-1.0
220,0,1,36.2,700.0,67.7,22.3,10.0,1.0,-1.0
221,0,1,36.2,700.0,67.7,22.3,10.0,1.0,-1.0
222,0,1,36.2,700.0,67.7,22.3,10.0,1.0,-1.0
223,0,1,36.2,700.0,67.7,22.3,10.0,1.0,-1.0
224,0,1,36.2,700.0,67.7,22.3,10.0,1.0,-1.0
225,0,1,36.2,700.0,67.7,22.3,10.0,1.0,-1.0
226,0,1,36.2,700.0,45.3,42.7,12.0,1.0,-1.0
227,0,1,36.2,700.0,45.3,42.7,12.0,1.0,-1.0
228,0,1,36.2,700.0,45.3,42.7,12.0,1.0,-1.0
229,0,1,36.2,700.0,45.3,42.7,12.0,1.0,-1.0
230,0,3,36.2,700.0,24.0,54.0,22.0,1.0,-1.0
231,0,3,36.2,700.0,24.0,54.0,22.0,1.0,-1.0
232,0,3,36.2,700.0,24.0,54.0,22.0,1.0,-1.0
233,0,3,36.2,700.0,24.0,54.0,22.0,1.0,-1.0
234,1,1,0.17,1800.0,37.9,35.0,27.1,1.0,-1.0
235,1,1,0.17,1800.0,37.9,35.0,27.1,1.0,-1.0
236,1,1,0.17,1800.0,37.9,35.0,27.1,1.0,-1.0
237,1,1,0.17,1800.0,37.9,35.0,27.1,1.0,-1.0
238,1,1,0.17,1800.0,40.0,41.8,18.2,1.0,-1.0
239,1,1,0.17,1800.0,40.0,41.8,18.2,1.0,-1.0
