,aquifer_vulnerability,drainage_class,offset,detected
0,1,2,1.0,-1.0
1,1,2,1.0,-1.0
2,1,2,1.0,-1.0
3,1,2,1.0,-1.0
4,1,2,1.0,1.0
5,1,2,1.0,-1.0
6,1,2,1.0,-1.0
7,1,2,1.0,-1.0
8,1,2,1.0,-1.0
9,1,2,1.0,-1.0
10,1,2,1.0,1.0
11,1,2,1.0,-1.0
12,1,2,1.0,1.0
13,1,2,1.0,-1.0
14,1,2,1.0,-1.0
15,1,2,1.0,-1.0
16,1,2,1.0,-1.0
17,1,2,1.0,-1.0
18,1,2,1.0,-1.0
19,1,2,1.0,-1.0
20,1,2,1.0,-1.0
21,1,2,1.0,-1.0
22,1,2,1.0,-1.0
23,1,2,1.0,-1.0
24,1,2,1.0,-1.0
25,1,2,1.0,-1.0
26,1,2,1.0,-1.0
27,1,2,1.0,-1.0
28,1,2,1.0,-1.0
29,1,2,1.0,-1.0
30,1,2,1.0,-1.0
31,1,2,1.0,-1.0
32,1,2,1.0,-1.0
33,0,2,1.0,-1.0
34,0,2,1.0,-1.0
35,0,2,1.0,-1.0
36,0,2,1.0,-1.0
37,0,2,1.0,-1.0
38,0,2,1.0,-1.0
39,0,2,1.0,-1.0
40,0,2,1.0,-1.0
41,0,2,1.0,-1.0
42,0,2,1.0,-1.0
43,0,2,1.0,-1.0
44,0,2,1.0,-1.0
45,1,2,1.0,-1.0
46,1,2,1.0,-1.0
47,1,2,1.0,-1.0
48,1,2,1.0,-1.0
49,1,2,1.0,-1.0
50,1,2,1.0,-1.0
51,1,2,1.0,-1.0
52,0,4,1.0,-1.0
53,0,4,1.0,-1.0
54,0,4,1.0,-1.0
55,0,4,1.0,1.0
56,0,4,1.0,-1.0
57,0,4,1.0,-1.0
58,0,4,1.0,-1.0
59,0,4,1.0,-1.0
60,0,4,1.0,-1.0
61,0,4,1.0,1.0
62,0,4,1.0,-1.0
63,0,4,1.0,-1.0
64,0,4,1.0,-1.0
65,0,4,1.0,-1.0
66,0,4,1.0,-1.0
67,0,4,1.0,-1.0
68,0,4,1.0,-1.0
69,0,4,1.0,-1.0
70,0,3,1.0,1.0
71,0,3,1.0,-1.0
72,0,3,1.0,-1.0
73,0,3,1.0,-1.0
74,0,3,1.0,-1.0
75,0,3,1.0,-1.0
76,0,3,1.0,-1.0
77,0,3,1.0,-1.0
78,0,3,1.0,-1.0
79,0,3,1.0,-1.0
80,0,3,1.0,-1.0
81,0,3,1.0,-1.0
82,0,3,1.0,-1.0
83,0,3,1.0,1.0
84,2,5,1.0,1.0
85,2,5,1.0,1.0
86,2,5,1.0,1.0
87,2,5,1.0,1.0
88,2,5,1.0,1.0
89,2,5,1.0,1.0
90,2,5,1.0,1.0
91,2,5,1.0,1.0
92,2,5,1.0,1.0
93,2,5,1.0,1.0
94,2,5,1.0,1.0
95,2,5,1.0,1.0
96,2,5,1.0,1.0
97,2,5,1.0,1.0
98,2,5,1.0,1.0
99,2,5,1.0,1.0
100,2,5,1.0,1.0
101,2,5,1.0,1.0
102,2,5,1.0,1.0
103,0,1,1.0,-1.0
104,0,1,1.0,-1.0
105,0,1,1.0,1.0
106,0,1,1.0,-1.0
107,0,1,1.0,-1.0
108,0,1,1.0,-1.0
109,0,1,1.0,-1.0
110,0,1,1.0,-1.0
111,0,1,1.0,-1.0
112,0,1,1.0,1.0
113,1,1,1.0,-1.0
114,1,1,1.0,-1.0
115,1,1,1.0,-1.0
116,1,1,1.0,-1.0
117,1,1,1.0,-1.0
118,1,1,1.0,1.0
119,1,1,1.0,-1.0
120,1,1,1.0,-1.0
121,1,1,1.0,-1.0
122,1,1,1.0,-1.0
