,aquifer_vulnerability,gus,tgus,offset,detected
0,0,0.636,-0.602,1.0,-1.0
1,0,0.636,-0.602,1.0,-1.0
2,0,0.636,-0.613,1.0,-1.0
3,0,0.636,-0.613,1.0,-1.0
4,0,0.636,-0.602,1.0,-1.0
5,0,0.636,-0.602,1.0,-1.0
6,0,0.636,-0.613,1.0,-1.0
7,0,0.636,-0.613,1.0,-1.0
8,0,0.636,-0.613,1.0,-1.0
9,0,0.636,-0.613,1.0,-1.0
10,0,0.636,-0.613,1.0,-1.0
11,0,0.636,-0.613,1.0,-1.0
12,0,0.636,-0.613,1.0,-1.0
13,0,0.636,-0.613,1.0,-1.0
14,0,0.636,-0.613,1.0,-1.0
15,0,0.636,-0.613,1.0,-1.0
16,2,0.636,-0.623,1.0,-1.0
17,2,0.636,-0.623,1.0,-1.0
18,2,0.636,-0.613,1.0,-1.0
19,2,0.636,-0.613,1.0,-1.0
20,2,0.636,-0.623,1.0,-1.0
21,2,0.636,-0.623,1.0,-1.0
22,2,0.636,-0.623,1.0,-1.0
23,2,0.636,-0.623,1.0,-1.0
24,2,0.636,-0.623,1.0,-1.0
25,2,0.636,-0.623,1.0,-1.0
26,0,-0.765,-0.623,1.0,-1.0
27,0,-0.765,-0.634,1.0,-1.0
28,0,-0.765,-0.623,1.0,-1.0
29,0,-0.765,-0.623,1.0,-1.0
30,0,-0.765,-0.623,1.0,-1.0
31,0,-0.765,-0.634,1.0,-1.0
32,0,-0.765,-0.623,1.0,-1.0
33,0,-0.765,-0.623,1.0,-1.0
34,0,-0.765,-0.623,1.0,-1.0
35,0,-0.765,-0.634,1.0,-1.0
36,0,-0.765,-0.623,1.0,-1.0
37,0,-0.765,-0.623,1.0,-1.0
38,1,0.028,0.135,1.0,1.0
39,1,0.028,0.135,1.0,1.0
40,1,0.028,0.135,1.0,1.0
41,1,0.028,0.135,1.0,1.0
42,1,0.028,0.114,1.0,-1.0
43,1,0.028,0.114,1.0,-1.0
44,1,0.028,0.114,1.0,-1.0
45,1,0.028,0.114,1.0,-1.0
46,1,0.028,-0.012,1.0,-1.0
47,1,0.028,-0.012,1.0,-1.0
48,1,0.028,-0.012,1.0,-1.0
49,1,0.028,0.114,1.0,-1.0
50,1,0.028,0.114,1.0,-1.0
51,1,0.028,0.114,1.0,-1.0
52,1,0.028,0.114,1.0,-1.0
53,1,-0.239,-0.508,1.0,-1.0
54,1,-0.239,-0.508,1.0,-1.0
55,1,-0.239,-0.508,1.0,-1.0
56,1,-0.239,-0.508,1.0,-1.0
57,1,-0.239,-0.508,1.0,-1.0
58,1,-0.239,-0.508,1.0,-1.0
59,1,-0.239,-0.508,1.0,1.0
60,1,-0.239,-0.508,1.0,-1.0
61,1,-0.239,-0.529,1.0,-1.0
62,1,-0.239,-0.529,1.0,-1.0
63,1,-0.239,-0.529,1.0,-1.0
64,1,-0.239,-0.508,1.0,-1.0
65,1,-0.239,-0.508,1.0,-1.0
66,1,-0.239,-0.508,1.0,-1.0
67,1,-0.239,-0.508,1.0,-1.0
68,2,-0.239,-0.529,1.0,1.0
69,0,-0.239,-0.518,1.0,1.0
70,1,-0.239,-0.508,1.0,1.0
71,0,0.486,0.641,1.0,-1.0
72,0,0.486,0.641,1.0,-1.0
73,0,0.486,0.641,1.0,-1.0
74,0,0.486,0.641,1.0,-1.0
75,0,0.486,0.641,1.0,-1.0
76,0,0.486,0.641,1.0,-1.0
77,0,0.486,0.641,1.0,-1.0
78,0,0.486,0.641,1.0,-1.0
79,1,-0.94,0.662,1.0,-1.0
80,1,-0.94,0.662,1.0,-1.0
81,1,-0.94,0.662,1.0,-1.0
82,1,-0.94,0.662,1.0,-1.0
83,1,-0.94,0.567,1.0,-1.0
84,1,-0.94,0.567,1.0,-1.0
85,1,-0.94,0.567,1.0,-1.0
86,1,-0.94,0.567,1.0,-1.0
87,1,-0.94,-0.076,1.0,-1.0
88,1,-0.94,-0.076,1.0,-1.0
89,1,-0.94,-0.076,1.0,-1.0
90,1,-0.94,0.588,1.0,-1.0
91,1,-0.94,0.588,1.0,-1.0
92,1,-0.94,0.588,1.0,-1.0
93,1,-0.94,0.588,1.0,-1.0
94,0,0.451,-0.392,1.0,-1.0
95,0,0.451,-0.392,1.0,-1.0
96,0,0.451,-0.423,1.0,-1.0
97,0,0.451,-0.423,1.0,-1.0
98,0,0.451,-0.392,1.0,-1.0
99,0,0.451,-0.392,1.0,-1.0
100,0,0.451,-0.423,1.0,-1.0
101,0,0.451,-0.423,1.0,-1.0
102,1,0.354,-0.465,1.0,-1.0
103,1,0.354,-0.465,1.0,-1.0
104,1,0.354,-0.381,1.0,-1.0
105,1,0.354,-0.381,1.0,1.0
106,1,0.354,-0.476,1.0,-1.0
107,1,0.354,-0.476,1.0,-1.0
108,1,0.354,-0.392,1.0,-1.0
109,1,0.354,-0.392,1.0,-1.0
110,1,0.354,-0.55,1.0,-1.0
111,1,0.354,-0.55,1.0,-1.0
112,1,0.354,-0.465,1.0,-1.0
113,1,0.354,-0.476,1.0,-1.0
114,1,0.354,-0.476,1.0,-1.0
115,1,0.354,-0.392,1.0,-1.0
116,1,0.354,-0.392,1.0,-1.0
117,0,-0.375,-0.413,1.0,-1.0
118,0,-0.375,-0.413,1.0,-1.0
119,0,-0.375,-0.413,1.0,-1.0
120,0,-0.375,-0.413,1.0,-1.0
121,0,-0.375,-0.413,1.0,-1.0
122,0,-0.375,-0.413,1.0,-1.0
123,0,-0.375,-0.413,1.0,-1.0
124,0,-0.375,-0.413,1.0,-1.0
125,0,0.067,0.462,1.0,-1.0
126,0,0.067,0.462,1.0,-1.0
127,0,0.067,0.462,1.0,-1.0
128,0,0.067,0.462,1.0,-1.0
129,0,0.067,0.462,1.0,-1.0
130,0,0.067,0.462,1.0,-1.0
131,0,0.067,0.462,1.0,-1.0
132,0,0.067,0.462,1.0,-1.0
133,0,0.067,0.357,1.0,1.0
134,0,-0.735,-0.623,1.0,-1.0
135,0,-0.735,-0.623,1.0,-1.0
136,0,-0.735,-0.623,1.0,-1.0
137,0,-0.735,-0.623,1.0,-1.0
138,0,-0.735,-0.623,1.0,-1.0
139,0,-0.735,-0.623,1.0,-1.0
140,0,-0.735,-0.623,1.0,-1.0
141,0,-0.735,-0.623,1.0,-1.0
142,1,-0.585,-0.571,1.0,-1.0
143,1,-0.585,-0.571,1.0,-1.0
144,1,-0.585,-0.613,1.0,-1.0
145,1,-0.585,-0.613,1.0,-1.0
146,1,-0.585,-0.581,1.0,-1.0
147,1,-0.585,-0.581,1.0,-1.0
